period,tier,quality,theta_mean,profs_stu,sd,sd_l,sd_h,tier2
2007,0,3.279505,8.7413187,.10190174,.29486126,2.9846437,3.5743663,Tier 1
2007.5,0,3.2846737,8.7150059,.10934985,.39277864,2.8918951,3.6774523,Tier 1
2008,0,3.3563929,8.8496161,.11523247,.27060351,3.0857894,3.6269963,Tier 1
2008.5,0,3.3427901,8.799202,.11702893,.40156025,2.9412298,3.7443504,Tier 1
2009,0,3.4189377,8.9708681,.11254514,.22992629,3.1890113,3.648864,Tier 1
2009.5,0,3.3867259,8.8503361,.130536,.36517966,3.0215464,3.7519054,Tier 1
2010,0,3.3512597,8.8233175,.12428351,.2244067,3.126853,3.5756664,Tier 1
2010.5,0,3.4183474,8.8956308,.13632937,.34191069,3.0764368,3.760258,Tier 1
2011,0,3.477036,9.0157537,.13352007,.25975367,3.2172823,3.7367897,Tier 1
2011.5,0,3.4875302,9.019578,.13027652,.4020929,3.0854373,3.8896232,Tier 1
2012,0,3.6087232,9.2318249,.13427603,.28795099,3.3207722,3.8966742,Tier 1
2012.5,0,3.5824745,9.1315651,.14594705,.45908782,3.1233866,4.0415621,Tier 1
2007,1,2.5558259,7.2592511,.087710276,.36752665,2.1882992,2.9233527,Tier 2
2007.5,1,2.4759343,7.0664854,.0855655,.36551669,2.1104176,2.8414509,Tier 2
2008,1,2.6004341,7.3702431,.083532125,.38072532,2.2197087,2.9811594,Tier 2
2008.5,1,2.4756713,7.0528431,.094062977,.36640143,2.1092699,2.8420727,Tier 2
2009,1,2.5876114,7.304183,.080656275,.39367452,2.1939368,2.981286,Tier 2
2009.5,1,2.4647977,7.0502667,.084712349,.3561697,2.108628,2.8209674,Tier 2
2010,1,2.552954,7.2340207,.095700987,.36105508,2.1918988,2.9140091,Tier 2
2010.5,1,2.5030305,7.105669,.093628988,.37557429,2.1274562,2.8786049,Tier 2
2011,1,2.6125917,7.386045,.088385716,.38138884,2.2312028,2.9939806,Tier 2
2011.5,1,2.5417001,7.2519612,.090163469,.38820052,2.1534996,2.9299006,Tier 2
2012,1,2.7436676,7.6535826,.097600646,.39833105,2.3453364,3.1419988,Tier 2
2012.5,1,2.5962331,7.3226128,.093377948,.45025328,2.1459799,3.0464864,Tier 2
